태풍번호,태풍명,최저 기압(hpa),최대풍속(10분 평균 m/s)
201420,누리(NURI),900,59
201419,봉퐁(VONGFONG),900,59
201418,판폰(PHANFONE),935,48
201417,간무리(KAMMURI),985,27
201416,풍웡(FUNG-WONG),980,31
201415,갈매기(KALMAEGI),965,38
201414,펑선(FENGSHEN),980,31
201413,제너비브(GENEVIEVE),915,54
201412,나크리(NAKRI),980,25
201411,할롱(HALONG),915,54
201410,마트모(MATMO),965,38
201409,람마순(RAMMASUN),925,51
201408,너구리(NEOGURI),915,54
201407,하기비스(HAGIBIS),994,21
201406,미탁(MITAG),994,21
201405,타파(TAPAH),980,31
201404,페이파(PEIPAH),998,18
201403,파사이(FAXAI),975,34
201402,가지키(KAJIKI),998,18
201401,링링(LINGLING),1002,18
201331,버들(PODUL),1000,18
201330,하이옌(HAIYAN),890,61
201329,크로사(KROSA),955,41
201328,레끼마(LEKIMA),900,59
201327,프란시스코(FRANCISCO),920,53
201326,위파(WIPHA),940,47
201325,나리(NARI),960,40
201324,다나스(DANAS),935,48
201323,피토(FITOW),955,41
201322,스팟(SEPAT),992,21
201321,우딥(WUTIP),965,38
201320,파북(PABUK),965,38
201319,우사기(USAGI),915,54
201318,마니(MAN-YI),975,34
201317,도라지(TORAJI),985,27
201316,위투(YUTU),1000,18
201315,콩레이(KONG-REY),985,27
201314,우나라(UNALA),1004,18
201313,페바(PEWA),980,31
201312,짜미(TRAMI),970,36
201311,우토르(UTOR),930,50
201310,망쿳(MANGKHUT),992,22
201309,제비(JEBI),980,31
201308,시마론(CIMARON),996,19
201307,솔릭(SOULIK),925,51
201306,룸비아(RUMBIA),985,27
201305,버빙카(BEBINCA),990,22
201304,리피(LEEPI),992,22
201303,야기(YAGI),990,24
201302,산산(SHANSHAN),1002,18
201301,소나무(SONAMU),992,22
201225,우쿵(WUKONG),998,18
201224,보파(BOPHA),930,50
201223,손띤(SON-TINH),955,41
201222,마리아(MARIA),990,24
201221,쁘라삐룬(PRAPIROON),945,45
201220,개미(GAEMI),990,24
201219,말릭시(MALIKSI),985,27
201218,에위니아(EWINIAR),985,27
201217,즐라왓(JELAWAT),905,57
201216,산바(SANBA),910,56
201215,볼라벤(BOLAVEN),920,53
201214,덴빈(TEMBIN),945,45
201213,카이탁(KAI-TAK),970,36
201212,기러기(KIROGI),992,22
201211,하이쿠이(HAIKUI),965,38
201210,담레이(DAMREY),975,34
201209,사올라(SAOLA),960,40
201208,비센티(VICENTE),960,40
201207,카눈(KHANUN),988,25
201206,독수리(DOKSURI),992,22
201205,탈림(TALIM),985,27
201204,구촐(GUCHOL),940,47
201203,마와르(MAWAR),965,38
201202,상우(SANVU),975,32
201201,파카르(PAKHAR),998,20
201121,와시(WASHI),996,20
201120,바냔(BANYAN),1002,18
201119,날개(NALGAE),940,47
201118,하이탕(HAITANG),996,19
